Fiche usage associé,IDENTIFIANT USAGE,Territoire,Nom du service,Description du service,Lien du service
Fabriquer soi-même ses cosmétiques,4c49745a-99d6-4f10-8ba3-c3f1c296a57e,National,Atelier green,Retrouvez des indications pour débuter du bon pied dans la fabrication de vos cosmétiques,https://latelier-green.com/fabriquer-ses-cosmetiques-maison/
Se proteger des risques d'addiction et des drogues,635c6da3-ccf2-4b95-9a09-28e6426bdbfa,National,AddictAIDE,AddictAIDE  permet aux personnes dépendantes et à leurs proches de trouver des outils et des ressources pour ne plus être seul(e) face à l’addiction,https://www.addictaide.fr/
Se proteger des risques d'addiction et des drogues,635c6da3-ccf2-4b95-9a09-28e6426bdbfa,National,AddictAIDE,Au travers de questionnaires; analysez votre consommation et trouver le bon accompagnemnet pour votre situation,https://www.addictaide.fr/les-parcours-d-evaluation/
Se protéger et choisir sa contraception,d1b04093-36f5-4b02-ba44-b0b9c2e8c039,National,Question sexualité,"Ce site public vous permet de vous informer sur les infections et maladies, la contraception, votre corps et votre sexualité",https://questionsexualite.fr/
Se protéger et choisir sa contraception,d1b04093-36f5-4b02-ba44-b0b9c2e8c039,National,Pill'Opps ,Application du Planning familial : suivi de sa prise de contraception. A telecharger sur toutes les appli store,https://www.planning-familial.org/fr/pilloops-lappli-pour-suivre-votre-prise-de-pilule-plus-facilement-334
Se protéger et choisir sa contraception,d1b04093-36f5-4b02-ba44-b0b9c2e8c039,National,Choisir sa contraception,Ce questionnaire vous guidera dans les différents choix qui s'offrent à vous quant à votre contraception,https://questionnaire.choisirsacontraception.fr/
Se protéger et choisir sa contraception,d1b04093-36f5-4b02-ba44-b0b9c2e8c039,National,Santé publique France,Retrouver tous les choix de contraceptions disponibles,https://www.santepubliquefrance.fr/determinants-de-sante/sante-sexuelle/documents/brochure/choisir-sa-contraception
Contrôler son état de santé,12be9e88-1b51-4ecb-8910-3ae17bc725c8,National,sante.gouv,"Information sur les modalités d'accès aux soins en france, notamment sur le choix du médecin traitant et du remboursement des consultations",https://sante.gouv.fr/systeme-de-sante/parcours-de-sante-vos-droits/modeles-et-documents/guide-usagers-votre-sante-vos-droits/article/fiche-1-l-acces-aux-soins
Contrôler son état de santé,12be9e88-1b51-4ecb-8910-3ae17bc725c8,National,Ameli,Trouver un professionnel de santé près de chez vous,http://annuairesante.ameli.fr/
"Avoir un bon usage de l’eau, faire attention à la pollution de l’eau",bac7a622-00b8-4ca4-aa88-e8819b7dbc69,National,Ademe,Economiser l'eau et alléger ses factures,https://agirpourlatransition.ademe.fr/particuliers/conso/conso-responsable/astuces-economiser-leau-a-maison-alleger-factures
"Avoir un bon usage de l’eau, faire attention à la pollution de l’eau",bac7a622-00b8-4ca4-aa88-e8819b7dbc69,National,Eau France,Service public d'information sur l'eau et les millieux aquatiques,https://www.eaufrance.fr/
"Avoir un bon usage de l’eau, faire attention à la pollution de l’eau",bac7a622-00b8-4ca4-aa88-e8819b7dbc69,National,data.eaufrance,"Ce site offre un accès libre aux données sur l'eau, les milieux aquatiques et leurs usages",https://data.eaufrance.fr/
Bien vieillir,cb3c345d-98ef-47d2-9977-54e9b02d9af2,National,Pour bien vieillir ,"pour bien vieillir concentre des information et ressources à destination des séniors sur l'équilibre psychologique, physique et social",https://www.pourbienvieillir.fr
Bien vieillir,cb3c345d-98ef-47d2-9977-54e9b02d9af2,National,Santé publique France,"Santé publique France regroupe des informations et ressources sur la santé physique et mentale, la nutrition et la maladie",https://www.santepubliquefrance.fr/la-sante-a-tout-age/la-sante-a-tout-age/bien-vieillir
Gérer son image et prendre conscience de soi,6fce679f-64a1-4f7e-b147-34e725246bd4,National,Cybermalveillance.gouv,"Cybermalveillance.gouv vous donne les bons réflexes à avoir pour sécuriser son usage des réseaux sociaux, sur le plan de la sécurisation des comptes comme sur son comportement avec les autres utilisateurs",https://www.cybermalveillance.gouv.fr/tous-nos-contenus/bonnes-pratiques/reseaux-sociaux
Gérer son image et prendre conscience de soi,6fce679f-64a1-4f7e-b147-34e725246bd4,National,e-enfance,E-enfance vous donne des conseils et des règles de sécurité afin d'évoluer sur les réseau sociaux dans un cadre sécurisé. A destination des pjeunes et des parents,https://e-enfance.org/informer/reseaux-sociaux/
Gérer son image et prendre conscience de soi,6fce679f-64a1-4f7e-b147-34e725246bd4,National,e-enfance,Se protéger et agir face au harcèlement,https://e-enfance.org/informer/cyber-harcelement/
Prendre soin de sa santé mentale,dc2cec5c-c2ed-4a2f-bbbf-1f71a88eac00,National,e-enfance,Information sur l'exposition aux écrans des enfants. Conseils pour conserver la maîtrise de ses outils numériques,https://e-enfance.org/informer/surexposition-aux-ecrans/
Prendre soin de sa santé mentale,dc2cec5c-c2ed-4a2f-bbbf-1f71a88eac00,National,Manger bouger,"Recettes, idées d'activités et astuces pour manger mieux et bouger plus",https://www.mangerbouger.fr/
Prendre soin de sa santé mentale,dc2cec5c-c2ed-4a2f-bbbf-1f71a88eac00,National,sante.fr,sante.fr apporte des éléments d'information sur la santé mentale et sur les moyens de la préserver,https://www.sante.fr/comment-prendre-soin-de-sa-sante-mentale
Prendre soin de sa santé mentale,dc2cec5c-c2ed-4a2f-bbbf-1f71a88eac00,National,Ameli,"Ameli propose des information et fiches pratiques sur la santé mentale des jeunes, jeunes adultes et adultes",https://www.ameli.fr/assure/sante/themes/sante-mentale
Prendre soin de sa santé mentale,dc2cec5c-c2ed-4a2f-bbbf-1f71a88eac00,National,sante.gouv,"Recommandation sur l'activité physique, la sédentarité et les mobilités actives",https://sante.gouv.fr/prevention-en-sante/preserver-sa-sante/article/activite-physique-et-sante
"Avoir une bonne hygiène au quotidien (dents, mains)",ed8dd7bf-97bc-4edc-b531-bc5a3d30ae51,National,Passeport sante,Conseils pour une bonne hygiène corporelle,https://www.passeportsante.net/fr/Actualites/Dossiers/DossierComplexe.aspx?doc=gestes-adopter-hygiene-corporelle
Lire et pratiquer la lecture,f01c1c40-05f3-4242-922d-747721a37d6f,National,Ebooks Gratuits,Site francophone proposant des milliers de livres au format Ebook totalement libres de droit. Créations originales et classiques de la littérature française.,https://www.ebooksgratuits.com
Profitez de l’offre culturelle locale,8de63c00-4be8-4829-a435-2dda61031669,National,Agenda Culturel national,Vous cherchez une idée de sortie culturelle ? Retrouvez sur Agenda Culturel les manifestations culturelles pour sortir près de chez vous.,https://www.agendaculturel.fr
Apprendre avec des tutoriels,620eeece-054e-45f5-94fa-7df78557af07,National,Tuto . Com,"Espace de formation gratuite (et payante) pour développer ses coméptences numériqus (photos, vidéos, code...)",https://fr.tuto.com/
Rencontrer de nouvelles personnes et accueillir des amis,27bc93c9-2a43-40d9-a725-e6b003f73774,National,Accueil des Villes Françaises,L'AVF c'est un réseau de 5000 bénévoles pour accueillir en priorité les Nouveaux Arrivants dans les villes et les personnes en recherche de lien social pour favoriser la création et le développement d’un réseau relationnel.,https://avf.asso.fr/decouvrir-les-avf/
Écouter et découvrir de la musique,16648da3-d810-4546-abb7-92469622347b,National,SoundCloud,"Plateforme de musique et de podcast gratuite, sans publicité ni exploitation des données personnelles",https://soundcloud.com
S’informer et suivre l’actualité,a1830f11-55c5-40bc-bd51-5ee5d80dff30,National,Hugo Décrypte,"Chaque jour du lundi au vendredi, sur cette chaîne, un résumé de l'actualité du jour.",https://www.youtube.com/@HugoDecrypte
Gérer sa consommation d’énergie,0900ef5d-3b4c-4366-b103-bd213592ce4f,National,20 solutions pour réduire sa consommation électrique,"Chaque foyer français possède en moyenne une centaine d’appareils électriques et électroniques. Gaspillages, suréquipement, manque d’entretien… alourdissent la facture. Quelques gestes peuvent faire la différence.",https://agirpourlatransition.ademe.fr/particuliers/maison/economies-denergie/20-solutions-reduire-consommation-delectricite
Jouer et se divertir seul et en famille,e9f7ca2a-c8b8-4d15-8fa2-6564847f97b9,National,ROLL 20,"Rejoignez une partie de Jeu de Rôle (Dungeons & Dragons, PathFinder...) avec des joueurs du monde entier dans un espace virtuel à l'ambiance adaptée au jeu... ",https://roll20.net
Jouer en ligne (jeu vidéo),fcde7e1b-43fb-47a5-8a9d-e7826e6c5a20,National,Retrogames,"Des milliers de jeux de consoles (NES, MegaDrive, Atari, etc.). Tout se joue directement depuis le navigateur. Vous choisissez votre jeu, vous le lancez et voilà ! ",https://www.retrogames.cc
Regarder des vidéos,f17872cf-6de3-4ce0-9197-bc768c711d1d,National,Archive.org,"Près de 30000 films, reportages et documentaires en Français. Gratuits et libres de droit.",https://archive.org/details/movies?&and[]=languageSorter%3A%22French%22
"Composter, cultiver son potager",d36abff1-b458-4a23-910b-438d94a1bc2e,National,Easy Compost,"L’application pratique et ludique qui vous aide à adopter les bons gestes et à bien trier vos déchets organiques.
",
Prendre soin des plantes,bc168278-6adf-4bab-892d-36d5b6773856,National,Dr Jonquille et Mr Ail,Entreprise de vente de graine bio qui a mis en place une application gratuite pour aider les jardiniers urbains en herbe ,https://app-presentation.djma.fr/?gclid=CjwKCAjw1YCkBhAOEiwA5aN4AQptfbNF0Yo3wux0BWSxBnl87VG87LG77ETvmFN5AhubvWm-EmObfxoCyQwQAvD_BwE
Se connecter à la nature,9dd606a9-40ce-4505-861e-6feb5d9833e7,National,PlantNet,"Avec l'application Pl@ntNet, identifiez une plante à partir d'une photo, et rejoignez un projet de sciences participatives sur la biodiversité végétale.
",https://plantnet.org/
Se connecter à la nature,9dd606a9-40ce-4505-861e-6feb5d9833e7,National,Visio Rando,Site participatif répertoriant des parcours de rando de tout niveaux à travers la France,https://www.visorando.com/
Connecter à son voisinage,9bfcf82f-0154-4282-a140-486c072200a1,National,Meetup,Réseau social qui permet d'organiser ou participer à des évènements en groupe près de chez soi,https://www.meetup.com/fr
Connecter à son voisinage,9bfcf82f-0154-4282-a140-486c072200a1,National,Next door,Réseau social orienté sur le voisinage,https://fr.nextdoor.com
Prendre soin des animaux,7ded88dd-f4ac-429c-9cbd-e8c23abab1e7,National,Wamiz,"site dédiée aux animaux de compagnie, avec une base de données dédiées à la vie des animaux de compagnie et un forum ",https://wamiz.com/
Communiquer par email,4eca0367-0e61-4191-a501-c65230ed5e05,National,Thunderbird,"Thunderbird est une application libre et simple de gestion de messagerie, elle permet de configurer plusieurs adresse de messagerrie sur une plateforme simplifiée.  ",https://www.thunderbird.net/fr/
